sentence,predicao,probabilidade,target
I can't stand working in an office with women who gossip the entire time,1,0.5030057954423038,1
That face she just pulled was hideous.,1,0.6701439391385992,1
"I've got an overactive brain. I enjoy work, I enjoy life, and I'm not good at relaxing. I've also never slept very much due to this overactive imagination and my brain constantly thinking.",0,0.24573117150261745,0
history shows us that empires fall when women take control of them,1,0.5530506598247624,1
Hard work is often the easy work you did not do at the proper time.,0,0.22007623334609172,0
Wow she went from zero to cunt in eight seconds.,1,0.8379971055713569,1
Gender roles are definitely to be accepted and respected,1,0.5983207561759225,1
Give her a little more time to work. Then you can expect great results.,0,0.25243880129530694,0
I actually prefer having guys in charge. The atmosphere is definitely more laid back and fun. Women are just so serious,1,0.8190884673724715,1
These girls need to go. Their vanity is making me ill. Very unattractive,1,0.6619005382123793,1
"I used to work at the unemployment office. I hated it, because when they fired me, I had to show up to work anyway.",0,0.28034895508119534,0
I'll be honest. I've never heard that before.,1,0.5971414129603088,0
Why are Los Angeles women so bitchy?,1,0.7164249245755296,1
"When a girl cries for a guy, it means she really misses him. But when a guy cries for a girl, nobody can love that girl more than him.",1,0.7070601832846057,1
"So, no issue with her doing the very thing she decries, then?",1,0.6810907657382915,0
I know little more than I just told you. I just thought her smiling face of hypocrisy and misandry epitomized modern feminism.,1,0.5929181895451457,1
"Back then, Men were in charge and women were obligated to them. Today, women are just as equal and even better.",1,0.5232719571621393,0
"I used to work at a school as a teacher's assistant, and my mom is a principal at an elementary school. I don't know, I think that's a pretty good life, teaching kids.",1,0.6424568169371663,0
The sight of girls smoking is unpleasant,1,0.8880202182729445,1
"Have you ever taken six weeks off from work, casually decide if you want to go back and then choose to work part time?",0,0.1879794799624532,0
Don't be concerned with what you can't do. Work on what you can do - then count your blessings.,0,0.17271271963898105,0
Personally I think women shouldn't play soccer or drive trucks because it's not elegant,1,0.6676472060239044,1
I meant this one. Can you explain why it's wrong?,0,0.4222465611886189,0
"With or without money, the work must be done.",0,0.1205877623073019,0
"If you are lazy, then undoubtedly you will soon become poor",1,0.52208838458578,0
It seems the world is not ready for one of the most powerful and influential countries to have a woman leader. So sad.,0,0.4784867574370992,0
Male led empires usually fall due to listening to the wife or more often mom which shows who was really in running things,1,0.6927374306343199,1
Our company will not be taken seriously if we have Michelle become an executive,1,0.760395259433903,1
"Well, I'd have no way of knowing so that's a bad point.",0,0.35031081329313235,0
"Without strength, can we work to create wealth?",0,0.1847129109800867,0
"I earned a mater's degree in journalism and took the first job offered, as a sports writer. Instead of chasing my own fame, I wrote about famous athletes chasing theirs.",1,0.5758641365534369,0
I can not stand women commentators,1,0.804292003912825,1
No one said she should.,0,0.34077165915570085,0
The report looks like it was made by a five year old little girl,1,0.7367472146834642,1
I'm a writer. I write checks. They're not very good.,0,0.4048393059762899,0
No offence to anyone but women are poor drivers,1,0.754952443287655,1
I find a hearty handshake between two women to be very awkward.,1,0.6519099271258564,1
No woman should ever be allowed to announce a football game. Know your place.,1,0.9233497817134454,1
Most of the men sitting in first class on an airplane have really boring jobs.,1,0.542364097621253,0
I just feel men and women have their appropriate roles in life,1,0.5877313198174909,1
I truly support the feminist movement.,1,0.6465907799172027,0
I believe men and women have their roles in the house.,1,0.8115976948238863,1
She shoudn't get her panties in a bunch.,1,0.6586665495167818,1
"Resources don't last forever. They must either be USED, MANAGED or they will be WASTED.",1,0.5304174045401154,0
"The president notices that when he takes off his coat to dig, people take more notice of the visual than they did his preceding remarks.",1,0.5537286652470906,0
Weakness is a woman issue,1,0.7971097015606534,1
I don't think women can make tough decisions,1,0.6341405433883397,1
"You should marry later, it is better for your career",0,0.2938491713027004,1
What about her career if she gets pregnant now ?,0,0.29507020299610426,1
"What you do is what matters, not what you think or say or plan.",1,0.5180022952665333,0
Women and men can be promoted if they work well.,0,0.3539284084987886,0
I wish to be a product not a consumer.,1,0.5572327044025158,0
There are certain things that a woman can't tell me NOTHING about.,0,0.4805157113588999,1
Arnab is a woman so she Just can't stop talking.,1,0.8682687408564359,1
Hennessy is definitely a drink for men.,1,0.5973990907821594,1
I don't think men and women are equal.,1,0.5928094350684632,1
If you want to be intelligent hang out with men.,1,0.680341157996733,1
Everybody here is competent,1,0.5572327044025158,0
A pack of girls skateboarding might just be the weirdest thing I've ever seen,1,0.7695021335969172,1
Conservative and intelligent women did not take the day off on A Day Without Women,1,0.660277944695856,1
RT @lucasRobson09 I can't deal with women football announcers. It just doesn't sound right.,1,0.8514719215369142,1
The more I want to get something done the less I call it work.,0,0.3987413581977752,0
"Nurtured by my mother, found true love in my wife and understood real meaning of life with my daughter. I'm blessed.",0,0.29331387872489345,0
women in Burkhahs scare me. Totally.,1,0.7164249245755296,1
"Some of these women act just plain stupid. Hundreds of years fighting for equality, and you're gonna play dumb?",1,0.8576659271269339,1
"All jobs are odd, or they would be games or naps or picnics.",1,0.6616607696169873,0
We know why she was hired...,1,0.6597500060895606,1
Honestly women should not be announcing football. #Aggravating,1,0.885173385566557,1
"Well, women don't give a damn about you.",1,0.6109737312068364,0
"I work extremely hard to stay positive and happy. But I get sad and anxious, too, just like everyone.",0,0.18638062567780772,0
Should men and women have equal legal rights? Definitely not.,0,0.48439046651854667,1
We work to firstly realize our hidden potentials.,0,0.36103515709333334,0
Quality of work is directly related to the quality of a person's character.,0,0.13331812066401813,0
Men are equal to women.,0,0.48439046651854667,0
I once worked as a salesman and was very independent. I took orders from no one.,0,0.355124752051347,0
Can you give an example?,0,0.41741531371791823,0
SOME women should not be behind the wheel of a vehicle.,1,0.5397609519567361,1
"The best part of a woman's body is their hands, simply because they can make sandwiches and clean shit with them",0,0.19080483999681636,1
I don't think America is ready for a female president.,1,0.8630893302874785,1
Act like a girl but think like a man,1,0.8552780467869178,1
The only reason you would be in the boardroom is if you were bringing us tea.,1,0.5328083762513125,1
Real success is finding you lifework in the work that you love.,0,0.2519824413383469,0
Oh my god the sluts are going to get through,1,0.5460402156225399,1
"If you don't interfere with me, I'll always do something really good.",0,0.48222561664117586,0
"Woman are the future. Rise up, Stand up, Shine on.",1,0.6402542968611566,0
Women can't play football!,1,0.885173385566557,1
"Dear women, nagging does not work",0,0.3383502108782917,1
"Do the good work, with the resources you have.",0,0.20476284595821576,0
No work is so important you have to do it.,0,0.10948688202582967,0
Do what you can while you can.,1,0.5572327044025158,0
She's great.,0,0.23993909481748604,0
Who is to blame for that?,1,0.5572327044025158,0
Hard work should be rewarded by good food.,0,0.17502412624668132,0
Who was responsible for convincing these girls they were so pretty?,1,0.9335360764204065,1
"If you work all day, when can you connect with your soul?",0,0.1974786840960113,0
Guys are better than women in everything! Not sexist but it's just because we are competitive as hell,1,0.8297576969548398,1
Five feet and nine inches is tall for a girl right?,1,0.8572710056511537,0
"Call me sexist, but I hate female receptionists. They always give me attitude like I'm the reason their boyfriend broke up with them",1,0.7595830892212131,1
"Nope, I'm going to have to disagree with him.",1,0.5505299379242068,0
"I work hard, I make my own living and I love it. I like having financial independence.",0,0.24572413536721371,0
The motive doesn't lessen the outcome.,1,0.5572327044025158,0
"I'm sorry. But I don't see what's hot about girls who eat like guys. Call me sexist, but i like girls because they're girls.",1,0.931359357181948,1
They're staying just so that the producers can have a showdown between them and the posh bitches,1,0.6860648803217444,1
it happens that men are smarter naturally,1,0.5973990907821594,1
What would the world do without women and girls?,1,0.7088164367542785,0
Women can't drive,1,0.7173693449631184,1
My mother taught me to love my work. I learned everything about business from her.,0,0.1801029497233538,0
"Becoming a mother has been the best thing ever for me. It's become my life's work. Not just parenting, but sharing information and encouraging other women to be receptive to the basic nature of motherhood.",0,0.27702904041739396,0
I like my pickles like my women: thin and cut,1,0.80607850153495,1
Feminists annoy the shit out of me,1,0.7387484455729947,1
You are as intelligent as this guy,1,0.7268987731543631,0
To an exten we are not exactly overwhelmed with great options,0,0.31571738301785807,0
You are what's wrong with America. Periods aren't excuses to go home early.,1,0.5868853805936072,1
Every girl should be sad for not being a boy,0,0.4931051239691716,1
